Time,Energy
2023-01-01 06:00:00_B_0,62.78026906
2023-01-01 11:00:00_B_0,68.60986547
2023-01-01 12:00:00_B_0,70.70254111
2023-01-01 13:00:00_B_0,69.05829596
2023-01-01 23:00:00_B_0,84.00597907
2023-01-02 07:00:00_B_0,84.30493274
2023-01-02 19:00:00_B_0,80.86696562
2023-01-04 02:00:00_B_0,60.53811659
2023-01-04 05:00:00_B_0,56.95067265
2023-01-04 09:00:00_B_0,71.59940209
2023-01-04 13:00:00_B_0,78.02690583
2023-01-05 02:00:00_B_0,56.20328849
2023-01-05 06:00:00_B_0,57.6980568
2023-01-05 11:00:00_B_0,69.05829596
2023-01-05 13:00:00_B_0,69.65620329
2023-01-05 18:00:00_B_0,88.9387145
2023-01-06 06:00:00_B_0,60.53811659
2023-01-06 22:00:00_B_0,75.33632287
2023-01-07 10:00:00_B_0,72.79521674
2023-01-01 02:00:00_B_1,17.48878924
2023-01-01 09:00:00_B_1,17.18983558
2023-01-02 13:00:00_B_1,17.33931241
2023-01-02 15:00:00_B_1,17.33931241
2023-01-02 18:00:00_B_1,17.63826607
2023-01-03 01:00:00_B_1,15.99402093
2023-01-03 05:00:00_B_1,15.8445441
2023-01-03 13:00:00_B_1,17.48878924
2023-01-03 14:00:00_B_1,18.23617339
2023-01-03 17:00:00_B_1,19.28251121
2023-01-03 18:00:00_B_1,18.08669656
2023-01-03 23:00:00_B_1,17.7877429
2023-01-04 01:00:00_B_1,17.48878924
2023-01-04 03:00:00_B_1,17.48878924
2023-01-04 08:00:00_B_1,17.33931241
2023-01-04 09:00:00_B_1,17.33931241
2023-01-04 12:00:00_B_1,18.38565022
2023-01-04 16:00:00_B_1,18.08669656
2023-01-04 19:00:00_B_1,17.93721973
2023-01-04 22:00:00_B_1,19.28251121
2023-01-05 11:00:00_B_1,19.58146487
2023-01-05 18:00:00_B_1,17.18983558
2023-01-05 19:00:00_B_1,17.48878924
2023-01-05 20:00:00_B_1,18.98355755
2023-01-05 23:00:00_B_1,17.48878924
2023-01-06 03:00:00_B_1,16.14349776
2023-01-06 05:00:00_B_1,15.69506726
2023-01-06 17:00:00_B_1,17.48878924
2023-01-01 02:00:00_B_2,50.67264574
2023-01-01 05:00:00_B_2,50.37369208
2023-01-01 09:00:00_B_2,56.20328849
2023-01-02 03:00:00_B_2,50.67264574
2023-01-02 05:00:00_B_2,50.67264574
2023-01-02 10:00:00_B_2,57.99701046
2023-01-02 17:00:00_B_2,59.64125561
2023-01-02 20:00:00_B_2,58.59491779
2023-01-02 21:00:00_B_2,59.34230194
2023-01-03 08:00:00_B_2,55.3064275
2023-01-03 16:00:00_B_2,57.39910314
2023-01-03 19:00:00_B_2,57.24962631
2023-01-03 22:00:00_B_2,65.32137519
2023-01-04 11:00:00_B_2,55.90433483
2023-01-04 12:00:00_B_2,55.90433483
2023-01-04 17:00:00_B_2,56.80119581
2023-01-04 23:00:00_B_2,59.34230194
2023-01-05 00:00:00_B_2,52.16741405
2023-01-05 06:00:00_B_2,50.22421525
2023-01-05 10:00:00_B_2,54.55904335
2023-01-05 20:00:00_B_2,60.23916293
2023-01-06 03:00:00_B_2,50.37369208
2023-01-06 04:00:00_B_2,50.37369208
2023-01-06 19:00:00_B_2,57.10014948
2023-01-07 06:00:00_B_2,51.4200299
2023-01-01 08:00:00_B_3,46.18834081
2023-01-01 15:00:00_B_3,32.58594918
2023-01-01 17:00:00_B_3,55.15695067
2023-01-01 18:00:00_B_3,55.15695067
2023-01-01 22:00:00_B_3,47.68310912
2023-01-02 00:00:00_B_3,39.46188341
2023-01-02 02:00:00_B_3,25.41106129
2023-01-02 03:00:00_B_3,21.52466368
2023-01-02 04:00:00_B_3,22.86995516
2023-01-02 09:00:00_B_3,37.21973094
2023-01-02 11:00:00_B_3,35.87443946
2023-01-02 15:00:00_B_3,34.37967115
2023-01-02 16:00:00_B_3,37.21973094
2023-01-02 22:00:00_B_3,50.37369208
2023-01-03 04:00:00_B_3,20.92675635
2023-01-03 05:00:00_B_3,20.02989537
2023-01-03 08:00:00_B_3,34.23019432
2023-01-03 20:00:00_B_3,44.39461883
2023-01-03 22:00:00_B_3,49.0284006
2023-01-04 00:00:00_B_3,37.81763827
2023-01-04 03:00:00_B_3,23.61733931
2023-01-04 05:00:00_B_3,20.1793722
2023-01-04 09:00:00_B_3,31.2406577
2023-01-04 13:00:00_B_3,37.21973094
2023-01-04 17:00:00_B_3,39.76083707
2023-01-04 20:00:00_B_3,39.46188341
2023-01-05 02:00:00_B_3,24.5142003
2023-01-05 06:00:00_B_3,22.86995516
2023-01-05 16:00:00_B_3,34.37967115
2023-01-05 23:00:00_B_3,39.76083707
2023-01-06 10:00:00_B_3,33.632287
2023-01-06 16:00:00_B_3,33.632287
2023-01-06 18:00:00_B_3,50.37369208
2023-01-01 04:00:00_B_4,17.04035874
2023-01-01 15:00:00_B_4,21.97309417
2023-01-01 19:00:00_B_4,26.9058296
2023-01-02 03:00:00_B_4,17.04035874
2023-01-02 05:00:00_B_4,17.33931241
2023-01-02 08:00:00_B_4,26.9058296
2023-01-02 09:00:00_B_4,23.61733931
2023-01-02 11:00:00_B_4,21.97309417
2023-01-02 13:00:00_B_4,23.61733931
2023-01-02 19:00:00_B_4,26.9058296
2023-01-03 04:00:00_B_4,17.18983558
2023-01-03 05:00:00_B_4,19.13303438
2023-01-03 08:00:00_B_4,22.72047833
2023-01-03 21:00:00_B_4,25.71001495
2023-01-04 08:00:00_B_4,20.02989537
2023-01-04 09:00:00_B_4,22.27204783
2023-01-05 20:00:00_B_4,24.21524664
2023-01-05 21:00:00_B_4,23.91629297
2023-01-06 03:00:00_B_4,16.89088191
2023-01-06 04:00:00_B_4,16.74140508
2023-01-06 17:00:00_B_4,24.81315396
2023-01-06 18:00:00_B_4,29.44693572
2023-01-06 19:00:00_B_4,26.30792227
2023-01-07 06:00:00_B_4,20.02989537
2023-01-02 09:00:00_B_5,22.122571
2023-01-02 13:00:00_B_5,22.57100149
2023-01-02 17:00:00_B_5,22.27204783
2023-01-02 21:00:00_B_5,22.122571
2023-01-03 13:00:00_B_5,21.97309417
2023-01-03 15:00:00_B_5,21.97309417
2023-01-03 21:00:00_B_5,22.27204783
2023-01-03 22:00:00_B_5,22.27204783
2023-01-04 01:00:00_B_5,21.67414051
2023-01-04 10:00:00_B_5,21.97309417
2023-01-04 14:00:00_B_5,22.27204783
2023-01-04 20:00:00_B_5,22.27204783
2023-01-05 00:00:00_B_5,23.16890882
2023-01-05 02:00:00_B_5,22.27204783
2023-01-05 11:00:00_B_5,22.122571
2023-01-05 20:00:00_B_5,21.97309417
2023-01-05 21:00:00_B_5,22.57100149
2023-01-06 06:00:00_B_5,21.22571001
2023-01-06 07:00:00_B_5,21.67414051
2023-01-06 09:00:00_B_5,21.67414051
2023-01-06 18:00:00_B_5,22.27204783
2023-01-06 20:00:00_B_5,22.122571
2023-01-07 15:00:00_B_5,21.82361734
2023-01-01 01:00:00_B_6,25.71001495
2023-01-01 02:00:00_B_6,23.16890882
2023-01-01 15:00:00_B_6,25.26158445
2023-01-02 00:00:00_B_6,29.14798206
