Time,Energy
2023-01-01 06:00:00_B_0,62.78026906
2023-01-01 11:00:00_B_0,68.90881913
2023-01-01 12:00:00_B_0,71.59940209
2023-01-01 13:00:00_B_0,69.05829596
2023-01-01 23:00:00_B_0,83.55754858
2023-01-02 07:00:00_B_0,84.30493274
2023-01-02 19:00:00_B_0,80.86696562
2023-01-04 02:00:00_B_0,60.53811659
2023-01-04 05:00:00_B_0,56.20328849
2023-01-04 09:00:00_B_0,71.59940209
2023-01-04 13:00:00_B_0,78.17638266
2023-01-05 02:00:00_B_0,57.6980568
2023-01-05 06:00:00_B_0,56.95067265
2023-01-05 11:00:00_B_0,68.90881913
2023-01-05 13:00:00_B_0,69.65620329
2023-01-05 18:00:00_B_0,91.03139013
2023-01-06 06:00:00_B_0,60.53811659
2023-01-06 22:00:00_B_0,75.78475336
2023-01-07 10:00:00_B_0,72.79521674
2023-01-01 02:00:00_B_1,17.33931241
2023-01-01 09:00:00_B_1,17.04035874
2023-01-02 13:00:00_B_1,17.33931241
2023-01-02 15:00:00_B_1,17.18983558
2023-01-02 18:00:00_B_1,17.63826607
2023-01-03 01:00:00_B_1,16.29297459
2023-01-03 05:00:00_B_1,15.69506726
2023-01-03 13:00:00_B_1,17.48878924
2023-01-03 14:00:00_B_1,18.38565022
2023-01-03 17:00:00_B_1,19.28251121
2023-01-03 18:00:00_B_1,18.08669656
2023-01-03 23:00:00_B_1,18.08669656
2023-01-04 01:00:00_B_1,17.33931241
2023-01-04 03:00:00_B_1,17.48878924
2023-01-04 08:00:00_B_1,17.04035874
2023-01-04 09:00:00_B_1,17.18983558
2023-01-04 12:00:00_B_1,18.53512706
2023-01-04 16:00:00_B_1,18.23617339
2023-01-04 19:00:00_B_1,17.7877429
2023-01-04 22:00:00_B_1,18.98355755
2023-01-05 11:00:00_B_1,19.28251121
2023-01-05 18:00:00_B_1,17.33931241
2023-01-05 19:00:00_B_1,17.48878924
2023-01-05 20:00:00_B_1,19.28251121
2023-01-05 23:00:00_B_1,17.93721973
2023-01-06 03:00:00_B_1,15.8445441
2023-01-06 05:00:00_B_1,15.54559043
2023-01-06 17:00:00_B_1,17.33931241
2023-01-01 02:00:00_B_2,51.4200299
2023-01-01 05:00:00_B_2,50.52316891
2023-01-01 09:00:00_B_2,56.35276532
2023-01-02 03:00:00_B_2,51.4200299
2023-01-02 05:00:00_B_2,51.4200299
2023-01-02 10:00:00_B_2,57.99701046
2023-01-02 17:00:00_B_2,58.89387145
2023-01-02 20:00:00_B_2,58.44544096
2023-01-02 21:00:00_B_2,58.59491779
2023-01-03 08:00:00_B_2,55.15695067
2023-01-03 16:00:00_B_2,57.99701046
2023-01-03 19:00:00_B_2,57.99701046
2023-01-03 22:00:00_B_2,68.60986547
2023-01-04 11:00:00_B_2,55.60538117
2023-01-04 12:00:00_B_2,55.3064275
2023-01-04 17:00:00_B_2,57.10014948
2023-01-04 23:00:00_B_2,59.04334828
2023-01-05 00:00:00_B_2,52.61584454
2023-01-05 06:00:00_B_2,50.67264574
2023-01-05 10:00:00_B_2,55.15695067
2023-01-05 20:00:00_B_2,60.83707025
2023-01-06 03:00:00_B_2,51.4200299
2023-01-06 04:00:00_B_2,50.67264574
2023-01-06 19:00:00_B_2,57.24962631
2023-01-07 06:00:00_B_2,51.4200299
2023-01-01 08:00:00_B_3,46.18834081
2023-01-01 15:00:00_B_3,32.28699552
2023-01-01 17:00:00_B_3,55.15695067
2023-01-01 18:00:00_B_3,55.15695067
2023-01-01 22:00:00_B_3,47.68310912
2023-01-02 00:00:00_B_3,38.56502242
2023-01-02 02:00:00_B_3,24.81315396
2023-01-02 03:00:00_B_3,21.52466368
2023-01-02 04:00:00_B_3,21.52466368
2023-01-02 09:00:00_B_3,37.21973094
2023-01-02 11:00:00_B_3,36.02391629
2023-01-02 15:00:00_B_3,34.37967115
2023-01-02 16:00:00_B_3,37.21973094
2023-01-02 22:00:00_B_3,50.37369208
2023-01-03 04:00:00_B_3,20.92675635
2023-01-03 05:00:00_B_3,20.02989537
2023-01-03 08:00:00_B_3,34.82810164
2023-01-03 20:00:00_B_3,43.79671151
2023-01-03 22:00:00_B_3,48.28101644
2023-01-04 00:00:00_B_3,37.81763827
2023-01-04 03:00:00_B_3,22.86995516
2023-01-04 05:00:00_B_3,20.02989537
2023-01-04 09:00:00_B_3,31.09118087
2023-01-04 13:00:00_B_3,37.21973094
2023-01-04 17:00:00_B_3,39.76083707
2023-01-04 20:00:00_B_3,38.56502242
2023-01-05 02:00:00_B_3,24.5142003
2023-01-05 06:00:00_B_3,22.86995516
2023-01-05 16:00:00_B_3,34.37967115
2023-01-05 23:00:00_B_3,39.76083707
2023-01-06 10:00:00_B_3,32.58594918
2023-01-06 16:00:00_B_3,33.93124066
2023-01-06 18:00:00_B_3,50.37369208
2023-01-01 04:00:00_B_4,16.89088191
2023-01-01 15:00:00_B_4,21.82361734
2023-01-01 19:00:00_B_4,27.05530643
2023-01-02 03:00:00_B_4,16.74140508
2023-01-02 05:00:00_B_4,17.18983558
2023-01-02 08:00:00_B_4,26.9058296
2023-01-02 09:00:00_B_4,23.31838565
2023-01-02 11:00:00_B_4,21.97309417
2023-01-02 13:00:00_B_4,23.76681614
2023-01-02 19:00:00_B_4,26.9058296
2023-01-03 04:00:00_B_4,17.18983558
2023-01-03 05:00:00_B_4,19.13303438
2023-01-03 08:00:00_B_4,22.72047833
2023-01-03 21:00:00_B_4,25.71001495
2023-01-04 08:00:00_B_4,20.32884903
2023-01-04 09:00:00_B_4,22.27204783
2023-01-05 20:00:00_B_4,24.36472347
2023-01-05 21:00:00_B_4,24.06576981
2023-01-06 03:00:00_B_4,16.74140508
2023-01-06 04:00:00_B_4,16.44245142
2023-01-06 17:00:00_B_4,25.41106129
2023-01-06 18:00:00_B_4,29.44693572
2023-01-06 19:00:00_B_4,26.30792227
2023-01-07 06:00:00_B_4,19.7309417
2023-01-02 09:00:00_B_5,22.122571
2023-01-02 13:00:00_B_5,22.42152466
2023-01-02 17:00:00_B_5,22.27204783
2023-01-02 21:00:00_B_5,22.122571
2023-01-03 13:00:00_B_5,22.122571
2023-01-03 15:00:00_B_5,22.122571
2023-01-03 21:00:00_B_5,22.122571
2023-01-03 22:00:00_B_5,22.122571
2023-01-04 01:00:00_B_5,21.67414051
2023-01-04 10:00:00_B_5,22.122571
2023-01-04 14:00:00_B_5,22.122571
2023-01-04 20:00:00_B_5,22.122571
2023-01-05 00:00:00_B_5,23.16890882
2023-01-05 02:00:00_B_5,22.122571
2023-01-05 11:00:00_B_5,22.122571
2023-01-05 20:00:00_B_5,21.97309417
2023-01-05 21:00:00_B_5,22.27204783
2023-01-06 06:00:00_B_5,21.22571001
2023-01-06 07:00:00_B_5,21.67414051
2023-01-06 09:00:00_B_5,21.82361734
2023-01-06 18:00:00_B_5,22.42152466
2023-01-06 20:00:00_B_5,21.97309417
2023-01-07 15:00:00_B_5,21.82361734
2023-01-01 01:00:00_B_6,25.11210762
2023-01-01 02:00:00_B_6,22.86995516
2023-01-01 15:00:00_B_6,25.11210762
2023-01-02 00:00:00_B_6,29.14798206
2023-01-02 09:00:00_B_6,27.80269058
2023-01-02 11:00:00_B_6,25.26158445
2023-01-03 03:00:00_B_6,23.16890882
2023-01-03 04:00:00_B_6,23.16890882
2023-01-03 21:00:00_B_6,29.59641256
2023-01-04 01:00:00_B_6,23.76681614
2023-01-04 11:00:00_B_6,25.71001495
2023-01-04 15:00:00_B_6,26.75635277
2023-01-05 00:00:00_B_6,27.50373692
2023-01-05 02:00:00_B_6,23.16890882
2023-01-05 10:00:00_B_6,27.05530643
2023-01-05 13:00:00_B_6,25.26158445
2023-01-05 17:00:00_B_6,27.80269058
2023-01-05 18:00:00_B_6,31.98804185
2023-01-05 23:00:00_B_6,25.71001495
2023-01-06 00:00:00_B_6,24.5142003
2023-01-06 11:00:00_B_6,26.9058296
2023-01-07 09:00:00_B_6,25.85949178
2023-01-01 01:00:00_B_7,50.67264574
2023-01-01 03:00:00_B_7,51.27055306
2023-01-01 05:00:00_B_7,48.5799701
2023-01-01 11:00:00_B_7,49.62630792
2023-01-01 18:00:00_B_7,49.77578475
2023-01-01 21:00:00_B_7,50.82212257
2023-01-02 00:00:00_B_7,51.86846039
2023-01-02 06:00:00_B_7,49.77578475
2023-01-02 19:00:00_B_7,53.21375187
2023-01-03 00:00:00_B_7,49.77578475
2023-01-03 01:00:00_B_7,47.83258595
2023-01-03 05:00:00_B_7,49.32735426
2023-01-03 06:00:00_B_7,49.77578475
2023-01-03 08:00:00_B_7,50.82212257
2023-01-03 13:00:00_B_7,51.56950673
2023-01-03 16:00:00_B_7,50.9715994
